token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44
283,content,-0.8960037,-0.32560632,0.9497928,-0.1999706,-0.0709645,-0.24208395,0.43206322,-0.17007345,-0.080539465,0.28343606,0.15240152,-0.33195692,0.4505626,0.28893644,0.20224565,-0.18844774,0.08828773,-0.03111536,0.90750355,1.040779,0.11538935,-0.8038556,0.014378065,-0.30012915,0.12977132,0.034010485,-0.3903794,-0.47758758,0.48746514,-0.06030122,-0.67349815,0.07961477,-0.04542305,0.41121423,-0.8433932,0.5725223,0.7286904,-1.1085573,-0.73908675,-0.7566526,0.012055069,-0.20487894,0.5660186,0.05317765,0.13973656
284,function,0.08411991,-0.33965522,-0.9489232,0.08548538,0.091167964,-0.07693954,-0.060843255,-0.09734806,0.018661276,0.47137114,0.0640688,0.032471005,0.052489582,0.14482287,0.192347,-0.08490381,0.12958075,-0.01492015,0.0349893,0.08622406,0.045349017,0.16583446,-0.08159413,0.0495483,-0.016532106,-0.34631193,0.4586476,0.1111877,0.08887018,0.008618598,0.11769344,0.10359813,0.15982753,-0.15308477,0.050928913,-0.3033557,0.091123626,0.10877779,-0.32053834,0.09244903,0.08603608,0.035775546,0.039241027,-0.25663882,0.0408935
285,content,-1.4993174,0.55491996,0.8815577,-0.7795731,0.38211828,-0.3217097,0.40532055,-0.008250359,0.31893852,-0.14081113,0.1645793,0.49949762,1.0975776,-0.022269048,-0.29693788,-0.25312272,0.05064236,-0.7193376,-0.3223474,0.9266971,-0.6821982,0.58922,0.44094536,-0.3280288,-1.4004197,0.029175935,-1.1132551,0.3551254,0.07530802,0.7757111,0.85429597,0.9979786,-0.48581314,0.34906846,0.5976118,-0.7384826,0.046182796,0.52049613,-0.08577967,-1.4068453,0.013515795,-1.5264736,-0.59259117,0.3192526,0.077630736
286,function,-0.89677256,-0.43865138,-1.418699,-0.35516337,-0.24836306,-0.2595902,0.26962233,-0.06586229,0.018262278,0.10298521,0.1314763,0.021286216,-0.016750177,0.0055139703,-0.78420794,-0.2203011,0.17166653,-0.14057375,0.886909,-0.3869432,0.22174683,0.39453557,-0.085659035,-0.21343568,-0.41960016,0.0110381385,2.2882905,-0.494064,-0.058392327,-0.03416804,-0.12067453,0.33044764,-0.60789484,0.23086797,0.054998696,0.3194423,-0.23843086,-0.00020519306,-0.019917425,-0.04916212,0.15262519,0.12508076,0.38105288,-0.14062944,0.23127514
287,function,0.10563262,-0.34869084,-0.6905252,0.07775947,0.42020518,-0.21468751,-0.064753965,-0.103900366,0.0012943482,0.18835863,-0.27144164,2.3602914e-05,0.016879305,-0.21700329,0.11551344,-0.07982025,0.09045476,0.39869386,0.024640717,0.028840402,0.014282691,-0.20790008,-0.05507412,0.036172327,-0.15390897,0.019079607,0.5056685,-0.3623807,0.11985221,0.48689505,0.027553186,0.02857739,0.04439208,0.18854581,0.05385421,-0.033856623,0.058471408,0.059464246,-0.047645375,0.020865658,0.04630348,-0.16176999,0.032702386,0.12354508,0.42695984
288,content,-1.2595966,0.4573927,1.0616724,-0.5367059,0.5622403,-0.29041675,0.5894445,-0.8028078,0.077746764,0.6309085,0.19254386,0.10304922,0.1082692,0.5034866,-0.16546412,-0.27552655,0.1793561,0.21828601,-0.101005256,1.3555481,-0.3723487,-0.21537577,0.8340685,-0.04145814,0.007619357,0.033324383,-1.5818083,1.2558291,0.30794644,-0.44404945,-0.73001367,-0.41305104,-0.42442122,0.4450156,0.3977874,0.27511105,-0.19236699,0.52532387,0.0027532205,-0.20520647,-1.1122166,-1.1233999,-1.4102318,-0.13765578,0.09083776
289,content,-1.5028087,0.71897006,1.7353561,-1.1899359,-0.2580865,-0.3380369,0.5351365,-0.028590525,-0.043818876,-0.22726098,0.1993323,0.7106013,-0.30057824,-0.23952113,0.13694634,-0.29379603,0.13896644,-1.0112474,-0.2934778,0.5567697,-0.95259273,0.6320366,1.1730871,0.22348335,-0.7202741,0.009168677,-1.187994,0.5456101,0.12644753,0.66936266,0.3896051,1.1911671,0.39891794,-0.043671794,0.03796934,-0.6075287,-0.801007,0.14280955,-0.21530142,-0.67491305,-0.5132219,-1.1982751,-1.0781795,1.5026436,0.4993816
290,function,0.11327815,-0.399514,-0.77169526,0.0053153024,-0.23303138,0.0016986909,-0.05903245,0.031748377,-0.04425404,-0.3581848,0.038873617,0.008809348,0.016634874,-0.15728179,-0.25050157,0.49991944,0.14506042,-0.101311296,-0.10094603,-0.09757335,-0.06530804,-0.2091968,-0.2493144,-0.029245658,0.1359103,-0.039968267,0.78140163,-0.19998178,0.097919814,-0.05823176,-0.16825105,-0.07279016,-0.03969567,0.29897064,-0.06812259,0.41373724,-0.059527546,-0.07434505,-0.23206241,-0.10466705,-0.053933512,-0.30561382,-0.053025942,-0.52001065,-0.36813676
291,content,-1.099694,-0.024531137,0.9145922,-0.34384668,-0.08837894,-0.3318484,-0.42625558,-0.26737648,0.006649849,0.54295784,0.16711283,-0.108862855,-0.12292492,0.081168406,-0.16328748,-0.22057109,0.16397126,-0.11181239,0.75075847,0.030002352,-0.28268835,0.51753163,0.85656464,0.5315619,-0.18758939,0.037270177,0.080866724,-1.2048585,-0.4944277,0.111814305,0.07813515,0.5880872,0.24501735,-0.43127474,0.3553325,0.30040622,-0.44540858,-0.019725876,0.021583702,-1.2129257,-0.34477752,-0.7991032,1.7114258,-0.10957963,-0.21104208
292,content,-1.2822938,0.6318139,0.4835068,-0.0700185,-0.30911964,-0.3088738,-0.4310103,-0.33446795,0.3051604,0.4960136,0.1644452,-0.6887051,1.2145256,-0.01316743,0.40203714,-0.1918691,0.027925463,-0.11158196,-0.11752633,0.96530104,-0.009399506,0.18158829,-0.67385995,-0.26947826,0.33376062,0.028236862,-0.87913567,-0.23616698,0.5197735,-0.20793377,-0.056082573,0.7525242,0.54795706,-0.7592269,0.22047527,0.099896416,-1.1851218,-1.0644897,-0.36948597,-0.2699463,-0.53738683,0.22141421,1.3984145,0.23832922,-0.4579209
293,content,-1.0376545,-0.15628149,0.3956042,0.3134607,-0.3952897,-0.22357486,0.35652852,-0.2864185,0.14103998,-0.05201135,0.0961935,-0.5406993,-0.39321047,0.7663344,0.12632307,-0.24398868,0.24112247,-0.028853536,-0.51338005,0.709747,-0.28160977,-0.65245575,-0.37746966,-0.48539028,0.26092538,0.02468917,-0.7810584,0.6144045,0.7824405,-0.2386314,0.6740853,-0.09148971,-0.12882991,0.6453525,-1.3050343,0.54447556,-0.051075894,-0.7109648,-0.100573465,-0.74217004,-0.36527178,0.35015726,1.255873,0.12166637,0.2521979
294,content,-1.2522353,0.30208644,1.3439276,0.20097758,-0.77110595,-0.34184507,-0.4111528,-0.6851154,0.004619874,0.7785996,0.17823775,-0.3659393,-0.027106902,-0.89150345,0.76097834,-0.29785663,0.173142,0.5659677,-0.26896083,0.15541208,-0.110038415,0.26426718,0.6778047,1.2130796,-0.7850439,0.026226582,-0.20191865,0.8420198,0.18501537,-0.04618395,-0.9061725,0.27903846,0.42514923,-0.12044475,0.8093994,-0.9474893,-0.6094797,0.56605756,0.8359292,-0.3176565,-1.4313035,-0.27556357,-1.4924169,-0.67183673,0.53139323
295,content,-1.2418915,0.61288565,0.31550607,0.27655435,-0.9523822,-0.28813708,-0.870157,-0.23810676,0.0056906007,-0.10737829,0.12869622,0.19414228,0.13463125,0.5060225,0.32643715,-0.25279605,0.18306667,0.09975192,0.459177,0.69062364,-0.22229634,0.518477,-0.3923445,-0.051117294,0.25113523,0.015111656,-0.79768765,0.15963571,0.28459972,0.045295767,0.18130699,-1.6230236,0.13232592,-0.30995426,-1.1893435,-0.23308204,-0.17892198,0.8742498,-0.68660456,0.39915806,-0.54682374,0.042009804,0.89601594,0.677777,-0.20749658
296,content,-1.1411681,0.15896837,1.1579385,-0.1857863,0.44668928,-0.2621919,0.5132698,-0.13664678,-0.0035680474,0.33535445,0.14838693,-0.1250764,-0.19386765,-0.33849216,-0.41136515,-0.23917946,0.15127197,-0.18220733,0.46468353,-0.47446668,-0.2871009,1.1593333,0.36898622,0.11459228,0.4819286,0.015930962,-1.4701757,0.61081636,0.063267335,-0.29974577,-0.087326035,0.33530504,0.0046799704,0.99841577,-1.2145548,0.220525,-0.14291298,-0.3819446,-0.21240161,-0.69864386,-0.45945683,0.46242923,-0.50682,-0.24172287,-0.5214049
297,content,-1.0663453,-0.015209423,-0.09830225,0.08659203,0.15213612,-0.30380964,-0.2050239,-0.16582093,-0.07280751,1.1002197,0.16061859,-0.20860277,-0.26229316,-0.16959909,0.47486526,-0.22547364,0.17634007,0.19931592,0.45391646,-0.20682688,0.3788445,0.67871803,-0.16432151,-0.08719945,-0.8805006,0.030218106,-1.5824107,0.77485245,0.36073568,-0.21214089,0.41511816,-0.17825717,0.9447372,-0.8280031,0.14352256,0.035641044,0.36345574,0.66307163,-0.7732099,-0.23178966,-0.8340822,-0.074500866,1.0395849,-0.6105471,-0.40916997
298,content,-0.9947535,-0.034715384,0.5164133,0.030776389,0.48078418,-0.2989836,0.57823455,-0.02736893,0.0015436837,0.4886324,0.1676695,-0.25411218,0.1624183,0.35993078,0.28200993,-0.20039856,0.18481417,-0.136475,0.23724675,-0.8081531,-0.14994325,0.012328978,0.0934843,0.9822009,-0.7864044,0.046315502,-0.48716143,-0.8153624,0.13701712,-0.13188921,-0.5563904,-0.610375,1.2377949,-0.45927405,-1.2674589,0.06694893,0.7937533,-0.080995895,-0.615299,0.18321234,0.38897443,0.09594226,0.747538,0.07913,0.10265616
299,content,-0.94948876,0.06881945,0.12058901,-0.055177145,-0.21919313,-0.27711204,0.68678826,0.1320678,-0.046294935,0.1495473,0.15015508,-0.124649644,-0.14335047,0.025247212,-0.0027150847,-0.2681692,0.14532088,0.006377849,1.5075347,0.34716833,0.010500144,0.054808564,-0.02845044,-1.24984,-0.15598975,0.013287419,-1.7329091,1.1437863,0.16954316,0.18953538,-0.0783785,1.3128123,0.40662852,-0.22956318,-0.64654005,0.016257038,-0.50234914,0.0883747,-0.47410825,0.0612223,-1.4619137,-0.5377149,-0.24932887,-0.3327167,0.5138125
300,content,-1.2786202,0.81740445,0.6427848,-0.23385218,0.42721492,-0.39345503,0.16947621,-0.37331587,0.0463069,0.14111093,0.18424496,0.054106094,-0.31369564,-0.09199556,-0.35929504,-0.2992654,0.17517865,0.034389716,-0.018054912,1.3212287,0.2638098,0.792165,1.1058302,0.28477955,-0.17348646,0.022810932,-1.6698161,1.5815006,0.10437112,-0.5368579,-1.0539298,-0.010893848,-1.3385497,-0.17892669,0.18353797,0.46343732,-0.5427402,0.5009746,-0.54993814,0.3800282,-1.5326011,-0.58260304,-0.07698122,-0.43123916,0.36984205
301,content,0.13096625,-0.38202357,0.5204199,0.23288102,-0.25181207,-0.110076256,-0.069612294,0.037663884,-0.014317201,-0.32491538,0.040185366,-0.021551514,-0.016985888,-0.39591995,-0.19804409,0.5789416,0.099433474,-0.18196769,-0.08837134,-0.14190446,-0.045575548,-0.26835105,-0.2306443,-0.08298123,-1.0108725,-0.045973033,-0.4850543,-0.56880516,-0.009601984,-0.10925607,-0.29278207,-0.09599431,-0.042103235,0.41306883,-0.052697938,0.28907037,-0.098164834,-0.11691638,0.052166298,-0.14666128,-0.113561034,0.19468029,-0.12216644,-0.31468564,0.5266414
