token_id,category,phi_0,phi_1,phi_2
102,punct,0.013881651,0.0011059314,-0.00045548278
103,punct,0.014782619,0.00086756056,-0.0014896764
104,punct,0.0122769745,0.008503331,-0.0022534078
105,punct,0.008873057,-0.0013805841,-0.0065674554
106,punct,0.020534795,0.0021106864,0.014026508
107,punct,0.017164975,0.0028730864,0.0068231523
108,punct,0.018128188,-0.0006145669,-0.0009710264
109,punct,0.011396646,0.0040702433,0.006059869
110,punct,0.01868159,-0.00086651597,0.0058541847
111,punct,0.005698582,0.016775843,0.0042817937
112,punct,0.011692071,0.0036115982,-0.0018232784
113,punct,0.018736081,0.0046906485,-0.007600325
114,punct,0.007534149,0.011492574,-0.0009792409
115,punct,0.0151335485,0.009266679,0.012741143
116,punct,0.007571258,0.00287495,-0.0048214924
117,punct,0.015364421,0.013602974,0.00068021397
118,punct,0.02538006,-0.000113596565,-0.004388616
119,punct,0.011731035,0.0030662233,-0.0022550134
120,punct,0.01479411,0.009135056,0.0031356197
121,punct,0.01607844,-0.0013101468,0.0007152059
122,punct,0.015100843,0.004682581,0.0041630096
123,punct,0.014221887,-0.0022212763,0.00071771117
124,punct,-0.0032197896,-0.030574732,-0.0068423203
125,punct,0.0127463825,0.014977339,-0.015557634
126,punct,0.18992075,0.17189075,0.16287152
127,punct,0.019418063,0.00826656,-0.00074930827
128,punct,0.016645527,0.0044309725,-0.0014371441
129,punct,0.016271397,0.0018666124,-0.0003035621
130,punct,0.0087474175,-0.0024766654,-0.004671657
131,punct,0.00095379,0.008106393,-0.0028853673
132,punct,0.021833345,0.00938737,-0.002131294
133,punct,0.018416602,0.00023546147,0.0014570536
134,punct,0.016667143,-0.0049046683,0.0070309155
135,punct,0.01332198,0.0023520014,-0.0060017505
136,punct,0.00940057,-0.0031795923,0.0033632612
137,punct,0.022520157,-0.01077687,-0.0040515875
138,punct,0.025423,0.008846435,-0.00023727836
139,punct,0.009804925,0.012695344,0.0037541764
140,punct,0.01852763,-0.0060668527,-0.0022323031
141,punct,0.012520593,0.004746624,0.0019843997
142,punct,0.4794811,-0.4526998,-0.4642973
143,punct,-0.010093841,0.027888335,-0.003211769
144,punct,0.018479891,-0.018092358,0.007353215
145,punct,0.016921202,-0.004828595,0.0021101062
146,punct,0.01292845,-0.00018329649,-0.0012427252
147,punct,0.0065634083,0.00660471,0.0025690487
148,punct,0.013391729,-0.0010333321,0.0016025244
149,punct,0.014831357,0.00072862813,-0.0026451296
150,punct,0.01838148,0.024959635,0.007562646
151,punct,0.02616615,-0.017317781,0.0014708062
152,punct,-0.080193326,0.08334972,-0.14861667
153,punct,-0.27020717,0.3205865,-0.31679243
154,punct,-0.024138514,0.016652374,0.003752873
155,punct,-0.011425165,-0.0004779036,-0.010987011
156,punct,0.014601682,-0.009393699,-0.0045612752
157,punct,0.015474965,0.0034985782,0.00068942504
158,punct,-0.03658992,0.041297678,-0.08621482
159,punct,0.016027259,0.0063804756,0.028016908
160,punct,-0.1770744,-0.17175317,0.20343891
161,punct,0.018100914,0.0073375283,0.006600105
162,punct,0.019512925,-0.00188344,-0.002339655
163,punct,0.016736105,-0.0010914761,0.005336795
164,punct,0.010106459,0.010890077,-0.0032291457
165,punct,-0.0006477719,0.0047574732,-0.00041155328
